CustomerID,Recency,Frequency,Monetary,cluster
12347,2,7,4310.0,2
12348,75,4,1437.24,0
12349,18,1,1457.55,0
12350,310,1,294.4,1
12352,36,7,1385.74,0
12353,204,1,89.0,1
12354,232,1,1079.4,1
12355,214,1,459.4,1
12356,22,3,2487.43,0
12357,33,1,6207.67,0
12358,1,2,928.06,0
12359,57,4,6247.48,2
12360,52,3,2302.06,0
12361,287,1,174.9,1
12362,3,10,4737.23,2
12363,109,2,552.0,0
12364,7,4,1208.1,0
12365,291,1,320.69,1
12367,4,1,150.9,0
12370,51,4,3418.19,0
12371,59,1,1527.96,0
12372,71,3,1196.04,0
12373,311,1,324.6,1
12374,25,1,622.93,0
12375,10,2,377.5,0
12377,315,2,1548.12,1
12378,129,1,4008.62,0
12379,81,2,777.24,0
12380,21,4,2427.81,0
12381,4,3,1474.81,0
12383,184,5,1628.56,1
12384,28,2,425.27,0
12386,337,2,401.9,1
12388,15,6,2780.66,0
12390,79,1,504.84,0
12391,21,1,422.58,0
12393,72,4,1582.6,0
12394,63,2,1080.48,0
12395,19,12,2682.63,2
12397,35,2,2214.9,0
12398,45,1,1435.66,0
12399,119,4,1033.65,0
12401,303,1,69.3,1
12402,323,1,195.6,1
12403,49,1,391.7,0
12405,148,1,1390.39,0
12406,22,2,3415.3,0
12407,49,5,1507.12,0
12408,32,5,2618.55,0
12409,78,3,9370.52,2
12410,308,2,533.33,1
12412,74,3,1142.88,0
12413,66,3,686.1,0
12414,217,3,442.41,1
12415,24,19,9370.52,2
12417,3,9,3226.1,2
12418,112,1,668.58,0
12420,63,1,600.39,0
12421,15,4,639.04,0
12422,95,3,683.56,0
12423,0,8,1634.31,0
12424,162,2,1760.96,1
12425,78,1,777.2,0
12426,194,1,510.73,1
12427,21,3,699.8,0
12428,25,8,6405.26,2
12429,9,4,3388.4,0
12430,43,1,216.4,0
12431,35,15,6247.45,2
12432,42,4,4359.32,0
12433,0,7,9370.52,2
12434,84,2,806.14,0
12435,79,2,7829.89,2
12436,99,1,429.01,0
12437,1,18,4447.41,2
12438,14,2,2466.85,0
12441,366,1,155.55,1
12442,3,1,144.06,0
12444,21,5,4085.46,0
12445,22,1,77.4,0
12446,57,1,1002.31,0
12447,243,1,431.49,1
12448,44,1,365.45,0
12449,22,4,3596.29,0
12450,156,2,197.88,1
12451,10,5,8995.52,2
12452,16,1,348.57,0
12453,134,1,707.09,0
12454,56,1,3528.34,0
12455,73,5,2339.86,0
12456,44,3,2581.04,0
12457,66,6,2043.23,0
12458,71,2,787.4,0
12461,154,1,626.88,1
12462,18,2,937.59,0
12463,53,4,1200.78,0
12464,10,8,957.05,0
12465,17,2,682.19,0
12468,187,2,657.54,1
12471,2,19,9370.52,2
12472,32,7,6068.11,2
12473,53,3,2575.23,0
12474,17,18,6642.39,2
12475,53,1,669.38,0
12476,15,11,5898.42,2
12477,22,6,9370.52,2
12478,3,1,545.99,0
12479,11,1,473.2,0
12480,28,4,2885.63,0
12481,22,10,4987.32,2
12483,17,8,1910.98,0
12484,35,4,3924.92,0
12488,9,3,1244.66,0
12489,336,1,298.93,1
