CustomerID,Recency,Frequency,Monetary
12347,2,7,4310.0
12348,75,4,1437.24
12349,18,1,1457.55
12350,310,1,294.4
12352,36,7,1385.74
12353,204,1,89.0
12354,232,1,1079.4
12355,214,1,459.4
12356,22,3,2487.43
12357,33,1,6207.67
12358,1,2,928.06
12359,57,4,6247.48
12360,52,3,2302.06
12361,287,1,174.9
12362,3,10,4737.23
12363,109,2,552.0
12364,7,4,1208.1
12365,291,1,320.69
12367,4,1,150.9
12370,51,4,3418.19
12371,59,1,1527.96
12372,71,3,1196.04
12373,311,1,324.6
12374,25,1,622.93
12375,10,2,377.5
12377,315,2,1548.12
12378,129,1,4008.62
12379,81,2,777.24
12380,21,4,2427.81
12381,4,3,1474.81
12383,184,5,1628.56
12384,28,2,425.27
12386,337,2,401.9
12388,15,6,2780.66
12390,79,1,504.84
12391,21,1,422.58
12393,72,4,1582.6
12394,63,2,1080.48
12395,19,12,2682.63
12397,35,2,2214.9
12398,45,1,1435.66
12399,119,4,1033.65
12401,303,1,69.3
12402,323,1,195.6
12403,49,1,391.7
12405,148,1,1390.39
12406,22,2,3415.3
12407,49,5,1507.12
12408,32,5,2618.55
12409,78,3,9370.52
12410,308,2,533.33
12412,74,3,1142.88
12413,66,3,686.1
12414,217,3,442.41
12415,24,19,9370.52
12417,3,9,3226.1
12418,112,1,668.58
12420,63,1,600.39
12421,15,4,639.04
12422,95,3,683.56
12423,0,8,1634.31
12424,162,2,1760.96
12425,78,1,777.2
12426,194,1,510.73
12427,21,3,699.8
12428,25,8,6405.26
12429,9,4,3388.4
12430,43,1,216.4
12431,35,15,6247.45
12432,42,4,4359.32
12433,0,7,9370.52
12434,84,2,806.14
12435,79,2,7829.89
12436,99,1,429.01
12437,1,18,4447.41
12438,14,2,2466.85
12441,366,1,155.55
12442,3,1,144.06
12444,21,5,4085.46
12445,22,1,77.4
12446,57,1,1002.31
12447,243,1,431.49
12448,44,1,365.45
12449,22,4,3596.29
12450,156,2,197.88
12451,10,5,8995.52
12452,16,1,348.57
12453,134,1,707.09
12454,56,1,3528.34
12455,73,5,2339.86
12456,44,3,2581.04
12457,66,6,2043.23
12458,71,2,787.4
12461,154,1,626.88
12462,18,2,937.59
12463,53,4,1200.78
12464,10,8,957.05
12465,17,2,682.19
12468,187,2,657.54
12471,2,19,9370.52
12472,32,7,6068.11
12473,53,3,2575.23
12474,17,18,6642.39
12475,53,1,669.38
12476,15,11,5898.42
12477,22,6,9370.52
12478,3,1,545.99
12479,11,1,473.2
12480,28,4,2885.63
12481,22,10,4987.32
12483,17,8,1910.98
12484,35,4,3924.92
12488,9,3,1244.66
12489,336,1,298.93
12490,5,10,4859.93
12491,38,1,424.4
12492,63,2,227.21
12493,165,2,379.74
12494,15,7,1084.1
12497,81,1,953.1
12498,21,3,349.7
12500,23,11,4059.82
12501,336,1,2025.39
12502,95,5,2995.87
12504,18,2,428.05
12506,232,1,73.5
12507,134,3,1052.81
12508,26,2,397.49
12509,284,1,158.5
12510,142,2,814.57
12512,66,2,126.33
12513,112,1,558.29
12514,267,1,1017.68
12515,353,1,278.7
12516,77,2,1186.06
12517,28,4,2280.36
12518,0,5,1840.89
12519,63,1,266.84
12520,79,5,2346.26
12521,142,1,545.68
12522,39,2,156.72
12523,19,11,1699.77
12524,9,8,3945.72
12526,0,3,1172.66
12527,81,3,330.71
12528,9,6,1645.48
12530,59,4,1500.28
12531,14,1,125.22
12532,30,1,313.83
12534,130,1,981.18
12535,91,2,716.35
12536,59,1,4279.71
12538,29,1,363.95
12539,22,4,5568.35
12540,19,17,9370.52
12541,29,3,841.18
12544,36,1,316.7
12545,75,2,832.39
12546,46,2,1021.5
12547,197,2,151.8
12548,166,1,67.2
12550,79,1,824.83
12551,357,1,168.0
12552,39,1,317.82
12553,8,10,3278.28
12556,50,2,595.41
12557,16,5,9370.52
12558,7,1,269.96
12559,310,2,525.71
12560,5,2,1918.01
12561,302,1,238.85
12562,8,7,3385.74
12564,261,1,402.9
12565,288,1,145.92
12566,86,1,297.65
12567,22,10,8609.28
12569,2,19,3152.69
12571,39,2,519.61
12572,8,2,912.42
12573,227,1,160.54
12574,315,1,182.45
12576,35,5,1315.83
12577,35,3,591.45
12578,21,2,2402.51
12579,78,1,386.42
12580,246,1,379.7
12581,39,1,179.71
12582,238,2,351.36
12583,2,15,6705.38
12584,3,9,2254.15
12585,234,2,1824.1
12586,17,1,196.94
12587,7,1,104.0
12588,39,1,174.9
12589,28,2,574.68
12590,211,1,9341.26
12591,317,1,368.85
12592,92,2,401.6
12593,108,3,382.1
12594,37,9,3208.22
12596,51,2,450.27
12597,19,4,3195.22
12598,9,7,2807.08
12599,29,7,888.58
12600,28,10,2311.04
12601,189,5,487.06
12602,58,1,153.12
12603,21,1,613.2
12604,79,2,236.18
12607,60,1,1579.51
12609,78,3,964.85
12610,22,4,1747.54
12611,52,1,1193.32
12612,74,1,668.04
12613,57,4,3092.38
12614,277,1,315.6
12615,2,4,2093.19
12616,95,2,641.3
12617,29,1,350.43
12618,21,1,137.31
12619,16,8,2945.56
12620,14,3,1303.41
12621,1,19,9370.52
12622,232,1,162.1
12623,276,1,269.1
12624,106,2,569.13
12625,211,2,2413.82
12626,23,9,5954.48
12627,10,6,4082.53
12628,4,3,732.46
12630,9,2,1030.88
12631,57,1,480.5
12633,58,4,1929.98
12635,89,2,1509.18
12637,67,8,5785.9
12638,33,1,511.69
12639,238,1,366.1
12640,23,3,994.58
12641,115,1,145.9
12642,25,3,905.26
12643,128,6,3041.64
12644,129,1,477.91
